Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,
DistributedRedundancy,冗長性レベル,冗長性レベル,Redundancy Level,冗余级别,冗餘級別,중복성 수준,Nivel de Redundancia,مستوى التكرار,
DistributedZeroCopy,ゼロコピー有効化,Zero Copyを使用する,Use Zero Copy,使用零拷贝,使用零拷貝,제로 카피 사용,Usar Copia Cero,استخدام النسخ الصفري,
DistributedGcStop,GC停止有効化,レンダリング中にGCを停止する,Stop GC during render,渲染期间停止GC,渲染期間停止GC,렌더링 중 GC 중지,Detener GC durante el renderizado,إيقاف GC أثناء العرض,
DistributedCompression,圧縮設定,ネットワーク圧縮,Network Compression,网络压缩,網路壓縮,네트워크 압축,Compresión de Red,ضغط الشبكة,
DistributedTimeout,タイムアウト設定,接続タイムアウト(ms),Connection Timeout (ms),连接超时 (ms),連線逾時 (ms),연결 시간 초과 (ms),Tiempo de Espera de Conexión (ms),مهلة الاتصال (مللي ثانية),
DistributedSyncInterval,同期同隔設定,同期同隔(ms),Sync Interval (ms),同步间隔 (ms),同步間隔 (ms),동기화 간격 (ms),Intervalo de Sincronización (ms),فاصل المزامنة (مللي ثانية),
DistributedCpuLimit,CPU制限設定,CPU使用率制限(%),CPU Usage Limit (%),CPU使用率限制 (%),CPU使用率限制 (%),CPU 사용량 제한 (%),Límite de Uso de CPU (%),حد استخدام وحدة المعالجة المركزية (%),
DistributedMemLimit,メモリ制限設定,メモリ使用量制限(MB),Memory Usage Limit (MB),内存使用限制 (MB),記憶體使用限制 (MB),메모리 사용량 제한 (MB),Límite de Uso de Memoria (MB),حد استخدام الذاكرة (MB),
DistributedEncryption,暗号化有効化,通信を暗号化する,Encrypt Communication,加密通信,加密通訊,통신 암호화,Cifrar Comunicación,تشفير الاتصال,
DistributedKey,暗号化キー,暗号化キー,Encryption Key,加密密钥,加密金鑰,암호화 키,Clave de Cifrado,مفتاح التشفير,
DistributedWorkerList,ワーカーリスト,検出されたワーカー,Detected Workers,检测到的工作节点,偵測到的工作節點,감지된 워커,Trabajadores Detectados,العمال المكتشفون,
